team,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,temperature,humidity_pct,wind_speed,tm_location,opp_location,tm_score,opp_score,opponent
Titans,26.0,140.0,1.0,19.0,32.0,127.0,1.0,2.0,52.474,104.0,244.0,3.0,23.0,1.0,1.0,3.0,8.0,50.0,16.0,3.0,14.0,0.214,1.0,2.0,0.5,2093.0,3.5,-3.5,44.5,59403.0,180.0,Outdoors,Grass,67.0,43.0,8.0,A,H,17,24,Bears
Patriots,16.0,70.0,1.0,21.0,29.0,164.0,0.0,0.0,85.991,154.0,224.0,3.0,10.0,3.0,2.0,2.0,2.0,10.0,13.0,4.0,11.0,0.364,0.0,1.0,0.0,1557.0,7.5,-7.5,41.0,66214.0,169.0,Outdoors,Fieldturf,66.0,40.0,5.0,A,H,16,10,Bengals
Bengals,39.0,170.0,1.0,15.0,24.0,121.0,0.0,0.0,75.174,120.0,290.0,1.0,1.0,1.0,0.0,0.0,5.0,40.0,17.0,6.0,15.0,0.4,0.0,0.0,0.0,2043.0,-7.5,7.5,41.0,66214.0,169.0,Outdoors,Fieldturf,66.0,40.0,5.0,H,A,10,16,Patriots
Texans,22.0,104.0,2.0,9.0,19.0,212.0,2.0,1.0,101.206,199.0,303.0,2.0,13.0,0.0,0.0,1.0,4.0,20.0,14.0,5.0,10.0,0.5,1.0,2.0,0.5,1200.0,-2.5,2.5,48.5,65306.0,182.0,Retractable roof (open),Fieldturf,0.0,0.0,0.0,A,H,29,27,Colts
Colts,40.0,213.0,1.0,24.0,32.0,234.0,2.0,0.0,115.885,204.0,417.0,4.0,30.0,0.0,0.0,0.0,5.0,30.0,26.0,7.0,14.0,0.5,2.0,2.0,1.0,2400.0,2.5,-2.5,48.5,65306.0,182.0,Retractable roof (open),Fieldturf,0.0,0.0,0.0,H,A,27,29,Texans
Dolphins,25.0,81.0,1.0,23.0,37.0,338.0,1.0,0.0,100.957,319.0,400.0,3.0,19.0,0.0,0.0,0.0,9.0,103.0,18.0,8.0,16.0,0.5,0.0,2.0,0.0,1990.0,-3.5,3.5,49.5,65582.0,183.0,Outdoors,Grass,91.0,57.0,10.0,H,A,20,17,Jaguars
Jaguars,26.0,128.0,1.0,12.0,21.0,162.0,1.0,0.0,97.718,139.0,267.0,3.0,23.0,2.0,1.0,1.0,8.0,71.0,17.0,2.0,10.0,0.2,0.0,1.0,0.0,1610.0,3.5,-3.5,49.5,65582.0,183.0,Outdoors,Grass,91.0,57.0,10.0,A,H,17,20,Dolphins
Vikings,21.0,74.0,0.0,22.0,42.0,186.0,0.0,2.0,44.345,166.0,240.0,5.0,20.0,1.0,0.0,2.0,9.0,95.0,14.0,7.0,18.0,0.389,1.0,3.0,0.333,1946.0,-1.5,1.5,41.0,81908.0,172.0,Outdoors,Fieldturf,64.0,48.0,10.0,A,H,28,6,Giants
Giants,26.0,111.0,1.0,19.0,24.0,208.0,2.0,1.0,113.194,201.0,312.0,1.0,7.0,1.0,1.0,2.0,7.0,63.0,17.0,3.0,10.0,0.3,1.0,1.0,1.0,1654.0,1.5,-1.5,41.0,81908.0,172.0,Outdoors,Fieldturf,64.0,48.0,10.0,H,A,6,28,Vikings
Seahawks,33.0,146.0,2.0,18.0,25.0,171.0,1.0,1.0,87.25,158.0,304.0,2.0,13.0,1.0,1.0,2.0,6.0,41.0,19.0,4.0,12.0,0.333,0.0,0.0,0.0,1726.0,-6.0,6.0,42.0,68714.0,195.0,Outdoors,Fieldturf,73.0,72.0,7.0,H,A,26,20,Broncos
Broncos,25.0,99.0,1.0,26.0,42.0,138.0,0.0,2.0,47.52,132.0,231.0,2.0,6.0,2.0,1.0,3.0,8.0,60.0,13.0,5.0,18.0,0.278,1.0,1.0,1.0,1874.0,6.0,-6.0,42.0,68714.0,195.0,Outdoors,Fieldturf,73.0,72.0,7.0,A,H,20,26,Seahawks
Chargers,27.0,176.0,1.0,17.0,26.0,144.0,1.0,0.0,92.468,140.0,316.0,1.0,4.0,0.0,0.0,0.0,7.0,50.0,11.0,4.0,15.0,0.267,0.0,0.0,0.0,1696.0,-3.0,3.0,40.0,70240.0,170.0,Dome,Matrixturf,0.0,0.0,0.0,H,A,22,10,Raiders
Raiders,22.0,71.0,0.0,25.0,33.0,257.0,1.0,1.0,95.139,225.0,296.0,4.0,32.0,2.0,2.0,3.0,2.0,15.0,14.0,5.0,14.0,0.357,0.0,1.0,0.0,1904.0,3.0,-3.0,40.0,70240.0,170.0,Dome,Matrixturf,0.0,0.0,0.0,A,H,10,22,Chargers
Cowboys,19.0,93.0,1.0,24.0,45.0,169.0,1.0,2.0,51.065,137.0,230.0,6.0,32.0,1.0,0.0,2.0,11.0,64.0,15.0,2.0,15.0,0.133,3.0,5.0,0.6,1854.0,2.5,-2.5,41.0,67431.0,199.0,Outdoors,Grass,68.0,41.0,15.0,A,H,33,17,Browns
Browns,25.0,102.0,1.0,19.0,32.0,179.0,1.0,0.0,85.286,163.0,265.0,3.0,16.0,1.0,0.0,0.0,11.0,85.0,15.0,4.0,14.0,0.286,0.0,0.0,0.0,1746.0,-2.5,2.5,41.0,67431.0,199.0,Outdoors,Grass,68.0,41.0,15.0,H,A,17,33,Cowboys
Buccaneers,30.0,112.0,0.0,24.0,30.0,289.0,4.0,0.0,146.389,280.0,392.0,1.0,9.0,0.0,0.0,0.0,7.0,46.0,22.0,9.0,13.0,0.692,0.0,0.0,0.0,2021.0,-3.5,3.5,42.5,63020.0,182.0,Outdoors,Grass,93.0,60.0,6.0,H,A,37,20,Football Team
Football Team,30.0,138.0,3.0,17.0,24.0,184.0,0.0,0.0,93.056,161.0,299.0,2.0,23.0,3.0,0.0,0.0,7.0,51.0,22.0,2.0,8.0,0.25,1.0,1.0,1.0,1579.0,3.5,-3.5,42.5,63020.0,182.0,Outdoors,Grass,93.0,60.0,6.0,A,H,20,37,Buccaneers
Lions,31.0,163.0,2.0,18.0,28.0,217.0,1.0,1.0,84.97,200.0,363.0,2.0,17.0,0.0,0.0,1.0,6.0,56.0,21.0,6.0,13.0,0.462,1.0,1.0,1.0,1785.0,-4.5,4.5,52.5,66530.0,194.0,Dome,Fieldturf,0.0,0.0,0.0,H,A,26,20,Rams
Rams,23.0,83.0,1.0,34.0,49.0,317.0,1.0,1.0,85.162,304.0,387.0,2.0,13.0,0.0,0.0,1.0,6.0,50.0,26.0,5.0,12.0,0.417,1.0,2.0,0.5,2096.0,4.5,-4.5,52.5,66530.0,194.0,Dome,Fieldturf,0.0,0.0,0.0,A,H,20,26,Lions
49ers,38.0,180.0,2.0,19.0,29.0,231.0,0.0,0.0,89.871,221.0,401.0,3.0,10.0,0.0,0.0,0.0,4.0,40.0,24.0,6.0,13.0,0.462,0.0,0.0,0.0,2320.0,-4.0,4.0,43.5,71319.0,171.0,Outdoors,Grass,76.0,60.0,10.0,H,A,32,19,Jets
Jets,19.0,68.0,1.0,19.0,29.0,203.0,2.0,1.0,94.468,198.0,266.0,1.0,5.0,1.0,1.0,2.0,3.0,10.0,14.0,6.0,10.0,0.6,0.0,1.0,0.0,1280.0,4.0,-4.0,43.5,71319.0,171.0,Outdoors,Grass,76.0,60.0,10.0,A,H,19,32,49ers
